parent_company,subsidiary_name,source,reason
Meta,Facebook Payments Inc. (Florida),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Technologies LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,FACEBOOK INC.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Andale LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Ireland Holdings Unlimited (Ireland),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Ireland Limited (Ireland),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Payments Inc. (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,KUSU PTE. LTD. (Singapore),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,MALKOHA PTE LTD. (Singapore),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,WhatsApp Inc. (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Andale Inc. (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Global Holdings I Inc. (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Global Holdings I LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Global Holdings II LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook International Operations Limited (Ireland),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Sweden Holdings AB (Sweden),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Parse LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Global Holdings I Inc. (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Global Holdings I LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Global Holdings II LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,KUSU PTE. Ltd. (Singapore),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Malkoha PTE Ltd. (Singapore),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Runways Information Services Ltd (Ireland),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Sidecat LLC (Delaware,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Oculus VR LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Ireland Holdings Limited (Ireland),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,FB - 12.31.2014 - 10K Exhibit 21.1,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,FB - 12.31.2013 - 10K Exhibit 21.1,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,FB - 12.31.2012 - 10K Exhibit 21.1,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
